0={start:0, end=1, key=4, type=PLAYER(0)}
1={start:2, end=5, key=4, type=PLAYER(0)}
2={start:6, end=6, key=4, type=PLAYER(0)}
3={start:7, end=7, key=4, type=PLAYER(0)}
4={start:8, end=8, key=4, type=PLAYER(0)}
5={start:9, end=9, key=4, type=PLAYER(0)}
6={start:10, end=10, key=4, type=PLAYER(0)}
7={start:11, end=11, key=4, type=PLAYER(0)}
8={start:12, end=12, key=4, type=PLAYER(0)}
9={start:13, end=13, key=4, type=PLAYER(0)}
10={start:14, end=14, key=4, type=PLAYER(0)}
11={start:0, end=2, key=2, type=PLAYER(0)}
12={start:3, end=5, key=2, type=PLAYER(0)}
13={start:6, end=8, key=2, type=PLAYER(0)}
14={start:9, end=9, key=2, type=PLAYER(0)}
15={start:10, end=10, key=2, type=PLAYER(0)}
16={start:11, end=11, key=2, type=PLAYER(0)}
17={start:12, end=12, key=2, type=PLAYER(0)}
18={start:13, end=13, key=2, type=PLAYER(0)}
19={start:14, end=14, key=2, type=PLAYER(0)}
20={start:15, end=15, key=2, type=PLAYER(0)}
21={start:16, end=16, key=2, type=PLAYER(0)}
22={start:17, end=17, key=2, type=PLAYER(0)}
23={start:18, end=20, key=2, type=PLAYER(0)}
24={start:21, end=21, key=2, type=PLAYER(0)}
25={start:22, end=22, key=2, type=PLAYER(0)}
26={start:23, end=23, key=2, type=PLAYER(0)}
27={start:24, end=24, key=2, type=PLAYER(0)}
28={start:0, end=0, key=3, type=PLAYER(0)}
29={start:1, end=1, key=3, type=PLAYER(0)}
30={start:2, end=2, key=3, type=PLAYER(0)}
31={start:3, end=3, key=3, type=PLAYER(0)}
32={start:4, end=4, key=3, type=PLAYER(0)}
33={start:5, end=5, key=3, type=PLAYER(0)}
34={start:6, end=6, key=3, type=PLAYER(0)}
35={start:7, end=7, key=3, type=PLAYER(0)}
36={start:8, end=8, key=3, type=PLAYER(0)}
37={start:9, end=9, key=3, type=PLAYER(0)}
38={start:10, end=10, key=3, type=PLAYER(0)}
39={start:11, end=11, key=3, type=PLAYER(0)}
40={start:12, end=12, key=3, type=PLAYER(0)}
41={start:26, end=30, key=3, type=PLAYER(0)}
42={start:0, end=0, key=0, type=PLAYER(0)}
43={start:1, end=16, key=0, type=PLAYER(0)}
44={start:0, end=7, key=10, type=PLAYER(0)}
45={start:8, end=15, key=10, type=PLAYER(0)}
46={start:16, end=23, key=10, type=PLAYER(0)}
47={start:24, end=31, key=10, type=PLAYER(0)}
48={start:0, end=7, key=11, type=PLAYER(0)}
49={start:8, end=15, key=11, type=PLAYER(0)}
50={start:16, end=23, key=11, type=PLAYER(0)}
51={start:24, end=31, key=11, type=PLAYER(0)}
52={start:0, end=7, key=12, type=PLAYER(0)}
53={start:8, end=15, key=12, type=PLAYER(0)}
54={start:16, end=23, key=12, type=PLAYER(0)}
55={start:24, end=31, key=12, type=PLAYER(0)}
56={start:0, end=7, key=13, type=PLAYER(0)}
57={start:8, end=15, key=13, type=PLAYER(0)}
58={start:16, end=23, key=13, type=PLAYER(0)}
59={start:24, end=31, key=13, type=PLAYER(0)}
60={start:0, end=7, key=14, type=PLAYER(0)}
61={start:8, end=15, key=14, type=PLAYER(0)}
